"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Ftgt";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"P_B1plus_0.8Blim";"P_B1plus_0.8Blow";"firstyear_B1plus_0.8Blim";"firstyear_B1plus_0.8Blow";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.032";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.032";171781.023598002;205873.911461137;283244.91028838;355398.061008735;379503.436104933;281969.214863532;293998.492857397;24426.3970337242;1.026309582914;0.356;0.945;NA;2022;0.8381;0.0828666666666667;1;0.776;0.997;0.752;25.143;12.7586095238095;NA;2.486;2.28466666666667;2027;0.000233333333333333;0.006;0.007;0.0271680733802549;0.0386766606702144;0.0525650368918993;5645.83589853633;10374.3898863262;15143.8832411723;10390.8747361166;2621.47893082626;1207.16066199026;632239.980805516
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.06";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.06";162353.31701192;189869.172411559;260890.65624986;331653.616751838;354015.639770044;261136.931809279;265342.17388884;24257.3381835631;1.02317970267861;0.276422764227642;0.914053426248548;NA;2023;0.916569879984514;0.118195896244677;1;0.831591173054588;0.99883855981417;0.743321718931475;27.4970963995354;17.6672722747636;NA;3.5458768873403;2.65710414247;2030;0.000387146728610143;0.00813008130081301;0.0116144018583043;0.0507280720766007;0.0741665466463036;0.104527219782161;9900.89122756847;18098.1486922751;26659.7614680125;18203.1448360869;4643.56740591102;2277.47664810837;2503045.91607738
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.063";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.063";161671.823069661;187928.508850705;258902.335064646;328787.747909624;351427.071407542;259092.24791569;262669.400705342;24254.3168753324;1.0231154348937;0.282;0.92;NA;2023;0.923233333333333;0.123233333333333;1;0.853;0.996;0.754;27.697;18.1886;NA;3.697;2.69478333333333;2031;0.000466666666666667;0.011;0.014;0.0530398097525311;0.0776747740573042;0.109443043021686;10357.6710145204;18741.2542136912;27738.2099732137;18865.0407375118;4782.81178756842;2368.62005793071;2549885.40242663
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.064";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.064";161291.79131299;187920.288930877;257450.435590161;327408.719917252;350465.048177574;257926.282655826;261681.025608193;24197.1485800761;1.02314868279319;0.284;0.918;NA;2023;0.926166666666667;0.124466666666667;1;0.858;0.998;0.758;27.785;18.6439833333333;NA;3.734;2.67295;2031;0.000566666666666667;0.012;0.017;0.0538199430447179;0.0792500782555127;0.112278683102312;10639.7562813372;18982.6835239104;28125.7667782897;19141.9070749166;4831.76809369754;2407.3548928722;1966465.85200283
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0643";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0643";160087.107568963;185916.536912468;257688.664640163;327565.391677354;350043.529221548;257585.785967971;262617.363762809;24162.6640699261;1.0233558349051;0.275;0.921;NA;2023;0.926466666666667;0.128766666666667;1;0.865;0.999;0.758;27.794;18.3681333333333;NA;3.863;2.75991666666667;2031;0.000466666666666667;0.012;0.014;0.0542087530330079;0.0796329653428187;0.112705612246181;10546.0560058736;19059.7155845901;28249.7129385285;19207.2336922673;4862.16434384615;2417.31551846191;2038705.97007442
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0643B";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0643B";160540.129638972;185877.710345697;256589.671815373;327044.78515294;349591.103252554;257168.831294586;262920.779819574;23989.3222811397;1.02303001024805;0.253746253746254;0.913086913086913;NA;2023;0.926040626040626;0.129370629370629;1;0.85014985014985;0.997002997002997;0.772227772227772;27.7812187812188;18.6077684220541;NA;3.88111888111888;2.70178155178155;2030;0.000366300366300366;0.00999000999000999;0.010989010989011;0.0540478289985017;0.0797693604761302;0.113247694397716;10460.8530872834;19063.525821385;28280.3856275119;19212.131644677;4914.386910756;2401.59201367768;1573445.94267348
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0644";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0644";160981.177289742;186371.755050106;257608.479659034;327933.534332461;351607.45281729;257902.604598045;260101.147301796;24171.5704830425;1.02287008352833;0.283;0.925;NA;2023;0.9246;0.128566666666667;1;0.87;0.998;0.76;27.738;18.381;NA;3.857;2.76336666666667;2031;0.000433333333333333;0.013;0.013;0.0543552811886371;0.0798713926799206;0.112907812319489;10597.6900371593;19138.6206090678;28402.5081991124;19284.7525743754;4872.44121492825;2427.26223787266;2950810.54392783
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0645";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0645";161454.431438774;186692.712358214;257156.087990823;327128.700112995;350400.932312651;257591.609884719;261292.121147632;24204.397606744;1.02285098312564;0.271;0.917;NA;2023;0.926233333333333;0.129033333333333;1;0.857;0.997;0.751;27.787;18.63595;NA;3.871;2.69641666666667;2032;0.000233333333333333;0.006;0.007;0.0543914193370539;0.0799989224720931;0.113104749919426;10642.7390780715;19161.0659038008;28335.0418310919;19294.5821250588;4859.46253655404;2412.017910615;2074140.31519765
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.065";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.065";160838.144046056;186363.322474801;256715.952117998;327010.044837918;350859.994456344;257218.727452434;260447.66641747;24232.7007427748;1.02309670957088;0.281;0.917;NA;2023;0.925666666666667;0.1284;1;0.867;0.997;0.768;27.77;18.44255;NA;3.852;2.68003333333333;2032;4e-04;0.01;0.012;0.054571139242726;0.0805033393279743;0.114209676296686;10670.5434794082;19275.2825945964;28487.8521741201;19389.3738495086;4917.58286824867;2429.3566563219;1825194.10935031
"all";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.08";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.08";152360.48549876;175451.389319525;245663.437697484;314485.987702083;338272.251003852;245920.787379856;245012.545614155;24051.7293907917;1.02109399534367;0.233;0.893;NA;2024;0.948633333333333;0.174566666666667;1;0.9;0.998;0.764;28.459;20.8529166666667;NA;5.237;2.99118333333333;NA;0.000533333333333333;0.012;0.016;0.0668793758241576;0.100435626074309;0.146092491973964;12665.084042931;22674.634193269;34017.2210862004;22909.2154083022;5858.28756823136;3014.62353899767;4107515.09647168
