"scenario";"year";"Ass";"Rule";"Rec";"INN";"OER";"Ftgt";"biomass_q95";"biomass_q50";"biomass_q05";"catch_q95";"catch_q50";"catch_q05";"catch.iyv_q95";"catch.iyv_q50";"catch.iyv_q05";"discards_q95";"discards_q50";"discards_q05";"disc.iyv_q95";"disc.iyv_q50";"disc.iyv_q05";"f_q95";"f_q50";"f_q05";"landings_q95";"landings_q50";"landings_q05";"land.iyv_q95";"land.iyv_q50";"land.iyv_q05";"rec_q95";"rec_q50";"rec_q05";"ssb_q95";"ssb_q50";"ssb_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2036;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";361845.143477833;278997.51718451;212696.888217251;21868.9867362966;16459.048472556;12459.4550921413;1.24237971514761;0.98780382489244;0.848025668251222;0;0;0;NA;NA;NA;0.0714925217564938;0.0634158658451692;0.0531204630343378;21868.9867362966;16459.048472556;12459.4550921413;1.24237971514761;0.98780382489244;0.848025668251222;11379106.3459946;6166944.26890675;3218539.70453709;361845.143477833;278997.51718451;212696.888217251;0.278410692486122;0.247881590271628;0.208658871213722;21868.9867362966;16459.048472556;12459.4550921413
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2037;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";366127.82168886;281861.316568751;213540.331079615;21609.2512130008;16501.3218852895;12313.0486173669;1.24242023773042;0.989859936846205;0.840553143524364;0;0;0;NA;NA;NA;0.0715746022323037;0.0632772846699919;0.0531787962390849;21609.2512130008;16501.3218852895;12313.0486173669;1.24242023773042;0.989859936846205;0.840553143524364;10880644.7411158;5883518.27487238;3162025.39787142;366127.82168886;281861.316568751;213540.331079615;0.278719780403489;0.247355762706262;0.208882064641358;21609.2512130008;16501.3218852895;12313.0486173669
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2038;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";370918.04443145;280136.600270472;215291.185988753;22027.1727452501;16585.5729864262;12498.1582954118;1.25027422386825;0.996071329301382;0.850666279926509;0;0;0;NA;NA;NA;0.0716911176195951;0.0637665434874914;0.0531840820263349;22027.1727452501;16585.5729864262;12498.1582954118;1.25027422386825;0.996071329301382;0.850666279926509;11297344.8958408;5801241.43510223;3076148.95175788;370918.04443145;280136.600270472;215291.185988753;0.27915849878771;0.249211885345269;0.208902288325793;22027.1727452501;16585.5729864262;12498.1582954118
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2039;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";365370.205500448;279176.721042902;213060.977247681;22078.847356004;16529.3160195428;12566.7860322051;1.24437220400346;0.986745067948697;0.842137927813487;0;0;0;NA;NA;NA;0.0717601380887236;0.0640473502966419;0.0529836993694667;22078.847356004;16529.3160195428;12566.7860322051;1.24437220400346;0.986745067948697;0.842137927813487;11951380.2576131;6094264.76839026;3125907.17658348;365370.205500448;279176.721042902;213060.977247681;0.279418361149846;0.250276812141341;0.208135534345364;22078.847356004;16529.3160195428;12566.7860322051
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2040;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";366767.588021276;280263.524487839;215245.377636017;21844.7205260131;16475.7531946859;12386.3663745057;1.25343674444345;0.978461563019942;0.839047446791695;0;0;0;NA;NA;NA;0.071314554417426;0.0634862956079173;0.0532862008241604;21844.7205260131;16475.7531946859;12386.3663745057;1.25343674444345;0.978461563019942;0.839047446791695;11750559.9249429;6007527.92340257;3098217.68124671;366767.588021276;280263.524487839;215245.377636017;0.277740446154901;0.248148800126573;0.209292976796858;21844.7205260131;16475.7531946859;12386.3663745057
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2041;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";372535.916134725;280619.019546436;218751.487247795;21766.907062092;16532.3596264586;12479.4219680225;1.25696323553022;0.990461016039279;0.840226180058877;0;0;0;NA;NA;NA;0.0717184043610137;0.0635995804249842;0.0535591807090245;21766.907062092;16532.3596264586;12479.4219680225;1.25696323553022;0.990461016039279;0.840226180058877;11155726.415077;5993138.17444126;3171674.18521372;372535.916134725;280619.019546436;218751.487247795;0.279261235461614;0.248578565463331;0.210337136558153;21766.907062092;16532.3596264586;12479.4219680225
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2042;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";375386.402171665;280723.209081625;214754.935508359;22161.0095464412;16586.6224254784;12742.0584263763;1.25001738547228;0.98972871846298;0.843890314266562;0;0;0;NA;NA;NA;0.0718024871466986;0.0641174584042683;0.0536617437690903;22161.0095464412;16586.6224254784;12742.0584263763;1.25001738547228;0.98972871846298;0.843890314266562;11206029.6237533;5857717.55368593;3202386.11500363;375386.402171665;280723.209081625;214754.935508359;0.279577797360978;0.250542645420407;0.210729365900129;22161.0095464412;16586.6224254784;12742.0584263763
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2043;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";360995.850152294;278744.639299416;213543.499795835;22276.9578587678;16589.5516633151;12492.3972283624;1.23642449504761;0.983955322235186;0.843807089912752;0;0;0;NA;NA;NA;0.0716928227445605;0.0640622974247031;0.0537405177057514;22276.9578587678;16589.5516633151;12492.3972283624;1.23642449504761;0.983955322235186;0.843807089912752;11275310.1125415;5926189.37190654;3103151.98176701;360995.850152294;278744.639299416;213543.499795835;0.279164918806763;0.250333489593018;0.211030588369132;22276.9578587678;16589.5516633151;12492.3972283624
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2044;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";361822.35924441;278151.436736621;214457.517554943;21478.6097171883;16390.2657421043;12424.6563603511;1.23215319874729;0.979434984631354;0.847147829623565;0;0;0;NA;NA;NA;0.0715261280740333;0.063829420930748;0.0538099027383582;21478.6097171883;16390.2657421043;12424.6563603511;1.23215319874729;0.979434984631354;0.847147829623565;11299947.418296;5983398.15907456;3179249.01878506;361822.35924441;278151.436736621;214457.517554943;0.278537245651719;0.249450364683759;0.211295887418084;21478.6097171883;16390.2657421043;12424.6563603511
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2045;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";371859.723895542;278633.093486887;214159.761386331;21409.1266267756;16409.0008289458;12402.9883610422;1.22256956527419;0.986085539199552;0.847653944128552;0;0;0;NA;NA;NA;0.0711257589101167;0.06383643049943;0.0528560467316559;21409.1266267756;16409.0008289458;12402.9883610422;1.22256956527419;0.986085539199552;0.847653944128552;10728620.8614619;5941288.03319302;3213677.88229123;371859.723895542;278633.093486887;214159.761386331;0.277029299408438;0.249476949689154;0.207646991428207;21409.1266267756;16409.0008289458;12402.9883610422
